Tipo,Nombre,Deporte,Direccion,Telefono,Municipio,Departamento,Pagina_Web,email,Ubicación,Razon_social,Clase_ubicacion,Localidad_comuna,Descripcion,Latitud,Longitud
Federacion,FEDERACION DE LUCHA,LUCHA,CL 41 73-78,2508487,MEDELLÍN,ANTIOQUIA,,fedeluchacol@hotmail.com,,,,,,6.247055556,-74.40677778
Federacion,FEDERACION DE RUGBY,RUGBY,CL 48 70-180 BARRIO ESTADIO,2602111 Ext. 290,MEDELLÍN,ANTIOQUIA,,,,,,,,6.253027778,-74.41022222
Federacion,FEDERACION DE ACTIVIDADES SUBACUATICAS,,KR 7 32-16 PISO 8,3013506439-2503585,BOGOTA D.C,BOGOTA D.C.,,,,,,,,4.618895,-74.068111
Federacion,FEDERACION DE AJEDREZ,AJEDREZ,KR 12 68-41,3451987,BOGOTA D.C,BOGOTA D.C.,www.fecodaz.com,,,,,,,4.654037,-74.06188
Federacion,FEDERACION DE ATLETISMO,ATLETISMO,CL 28 25-18 CASA DE LAS FEDERACIONES,2878186-2884925,BOGOTA D.C,BOGOTA D.C.,www.fecodatle.org,,,,,,,4.623774,-74.076058
Federacion,FEDERACION DE BADMINTON,BADMINTON,KR 30 CON CL 54 COLISEO EL CAMPIN OFIC 4,2119340-2356941,BOGOTA D.C,BOGOTA D.C.,www.badmintoncolombia.com,,,,,,,4.649433,-74.077201
Federacion,FEDERACION DE BALONCESTO,BALONCESTO,KR 30 CON CL 54 COLISEO EL CAMPIN OFIC 17,2123438-2358092,BOGOTA D.C,BOGOTA D.C.,www.fecolcesto.es.tl,,,,,,,4.649433,-74.077201
Federacion,FEDERACION DE BALONMANO,BALONMANO,KR 30 CON CL 54 COLISEO EL CAMPIN ENTRADA ,2356941-45,BOGOTA D.C,BOGOTA D.C.,,balonmanocolombia@gmail.com,,,,,,4.649433,-74.077201
Federacion,FEDERACION DE BILLAR,BILLAR,CL 28 25-18 CASA DE LAS FEDERACIONES,2323559-2456732,BOGOTA D.C,BOGOTA D.C.,www.fedecobol.org,fecolbi@hotmail.com,,,,,,4.623774,-74.076058
Federacion,FEDERACION DE BOWLING,BOWLING,CL 57 59-99 BOLERA EL SALITRE,2501628 -2501648,BOGOTA D.C,BOGOTA D.C.,,www.fedecobol.org,,,,,,4.653064,-74.090985
INDER,INDEPORTES BOYACA,,AVENIDA VILLA OLIMPICA CASA DEL DEPORTE,7422365-7403927,TUNJA,BOYACÁ,,comunicaciones@indeportesboyaca.gov.co,,,,,,5.540777778,-72.64511111
INDER,INDENORTE,,CL 5 DG SANTANDER PISCINA OLIMPICA,5740720,CÚCUTA,NORTE DE SANTANDER ,,general@indenorte.gov.co,,,,,,7.892194444,-71.49952778
INDER,INDEPORTES ARAUCA,,CL 1 CON KR 26 COLISEO CUBIERTO BARRIO LOS FUNDADORES,8854650,ARAUCA,ARAUCA,,colde_ara@hotmail.com,,,,,,7.066777778,-69.23986111
INDER,INDEPORTES CASANARE,,TV 18 14-09,6321316-6353638,SAN JOSÉ DEL GUAVIARE,CASANARE,,indercas@yahoo.com,,,,,,5.341666667,-71.60111111
INDER,INDEPORTES ANTIOQUIA,,CL 48 70-180,2602111 Ext 204,MEDELLÍN,ANTIOQUIA,,indeportes.gere@une.net.co,,,,,,6.255472222,-74.40847222
INDER,INDEPORTES CALDAS,,KR 23 47-118,8810104-8810112,MANIZALES,CALDAS,,sdeportes@gobernaciondecaldas.gov.co,,,,,,5.064166667,-74.50022222
INDER,SECRETARIA DE DEPORTES DE RISARALDA,,CASA DEL DEPORTE VILLA OLIMPICA,3372519,PEREIRA,RISARALDA,,omar.parra@risaralda.gov.co,,,,,,4.804666667,-74.24902778
INDER,INDEPORTES QUINDIO,,GOBERNACION DE QUINDIO PISO 12,7441768-7447175,ARMENIA,QUINDÍO,,indeportesquindio2009@hotmail.com,,,,,,4.531888889,-74.32730556
INDER,INDEPORTES TOLIMA,,CL 18 7-30 BARRIO INTERLAKEN,2621620-2637272,IBAGUÉ,TOLIMA,,indeportestolima@gmail.com,,,,,,4.443583333,-74.76708333
INDER,INDERMETA,,VILLA OLIMPICA BARRIO DOSMIL SEDE ADMINISTRATIVA,6710577,VILLAVICENCIO,META,,director@idermeta.gov.co,,,,,,4.138888889,-72.37905556
LIGAS,LIGA DE BALONCESTO DE CAQUETA,BALONCESTO,KR 12 N° 9-87 BARRIO JUAN XXIII,3014060767,FLORENCIA,CAQUETÁ,,marrogal@hotmail.com,,,,,,1.609694444,-74.38947222
LIGAS,LIGA DE FUTBOL DE SALON DEL CAQUETA,FUTBOL DE SALON,CL 5 N° 11-77 TERCER PISO BARRIO VERSALLES,8-4343226-3134239714,FLORENCIA,CAQUETÁ,,piqui31@yahoo.com,,,,,,1.609,-74.39366667
LIGAS,LIGA DE ACTIVIDADES SUBACUATICAS DE CAUCA,ACTIVIDADES SUBACUATICAS,KR 10 N° 5-83,8363128-3104279597,POPAYÁN,CAUCA,,notivisiontv@yahoo.es,,,,,,2.441611111,-75.39002778
LIGAS,LIGA DE BADMINTON DEL CAUCA,BADMINTON,KR 7 N° 7-90,3184212828,POPAYÁN,CAUCA,,badmintoncauca@gmail.com,,,,,,2.440055556,-75.39233333
LIGAS,LIGA DE LUCHA DEL CAUCA,LUCHA,CL 20 N° 11A-11,3156911707,PIENDAMÓ,CAUCA,,,,,,,,2.640277778,-75.47041667
LIGAS,LIGA DE FUTBOL DE GUAVIARE,FUTBOL,CL 17 N° 26-40 BARRIO SANTANDER,3143671041,SAN JOSÉ DEL GUAVIARE,GUAVIARE,,futbolguaviareliga@hotmail.com,,,,,,2.5645,-71.36569444
CLUBES,VUELO LIBRE VIENTOS,PARAPENTE,Calle 6 No. 6A-02,3147144333,APIA,RISARALDA,,,,,,,,5.177055556,-75.956
CLUBES,CORPORACION DEPORTES QUINDIO,FUTBOL,KR 11 N°10-N-44,6-7369701,ARMENIA,QUINDÍO,,comunicaciones@deportesquindio.com.co,,,,,,4.549305556,-74.34119444
